url,name,price,rating,reviewCount,description,asin,manufacturer
https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-15,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,₹749,4.2,"43,223",NA,B075Y72PHZ,"‎Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560157, 1. DONGGUAN NIDAIKE ELECTRONIC TECHNOLOGY CO.,LTD. No.38 Taikang Street,Baihao Village, Houjie Town,Dongguan City,Guangdong Province,China-523957 2. Talent Hill Industrial Co., Ltd. Room 811, 7th Floor, No. 19 East tricy clic North Road , Chao yang District, Beijing, China."
https://www.amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A7G7LRDIK7CR7&sprefix=ba%2Caps%2C283&sr=8-16,DIVING DEEP Women Backpack Latest School Bag for Girls (Black),₹391,3.3,"1,062","DIVING DEEP Women Backpack Latest School Bag for Girls Stylish & Fashionable: This bag is designed for modern fashion-conscious individuals who desire style along with functionality. It is a perfect mid-sized bag to carry all the daily essentials while using it as a fashion day-pack, mini travel bag, college backpack etc. Product Material: It is made using the finest grade Polyester inner fabric to ensure durability at its best. Besides, it has a sturdy, non-slip, and comfortable top loop handle as well as adjustable straps at its back to ensure you look cool everywhere - be it shopping, travelling, work or date. Bag Compartments: This stylish shoulder carry backpack contains 1 large main zippered compartment, 1 front pocket and 1 inner pocket and a mobile pocket to carry anything and everything you want in a secure and arranged manner that fits into this premium backpack.; ?? Zip closure with adjustable strap; Special Features: Back Padding; Water Resistance Level: Waterproof; Age Range Description: Adult Water Resistance Level: Waterproof; Age Range Description: Adult; Special Features: Back Padding Backpack From Diving Pump up your style quotient a notch higher as you step out carrying this Casual Backpack from Vintage. It has a vibrant and stylish design, along with the added benefit of spacious interiors. Adjustable Shoulder Straps The bag has padded adjustable shoulder straps that provide carrying comfort. The back panel is also finely padded for ease when you are carrying the backpack. This provides ease of carrying the bag when you are on the move. Attractive Classy Look Look classy and trendy with this simple yet sleek bag. This handbag will catch all the attention and will lend a perfect finishing touch to your casual look. It will complement all types of outfits and has ample space to carry all your essentials. Read more A perfect pick for daily use, this Polyester Trending Backpack can securely be used to carry mobile phone, cards, cosmetics, umbrella and other daily essential things in a safe, secure and arranged manner. No matter wherever you are heading to, it can be your companion for every hour of need.",B08F7YYZTJ,DIVING DEEP
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&sprefix=ba%2Caps%2C283&sr=8-17,TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey),₹695,3.8,870,"Perfectly designed Bag The bag is aesthetically designed and hand crafted by experts to ensure consistent superior quality and high value for customers . To meet your day to day need, The Laptop Backpack is a lightweight, multi-utility bag . Read more Safety lock Feature Initial Lock code is 000 you can change it as well by watching the video shared in the question answer section below . Reflective safety strip The back panel is also finely padded for ease when you are carrying the backpack Multi-purpose Pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors. Read more",B09H7PK5ML,1
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A2B3JTOLC77ES8&sprefix=ba%2Caps%2C283&sr=8-18,DEIN KLEIDER Men's Nylon Messenger Bag,₹271,3.9,"2,917","Premium Built Quality Keeping in mind the average usage by an average Indian, this casual backpack is manufactured using top grade nylon and robust hardware to ensure long life. An ideal cross body bag for: School College Daily Commute Travelling Execise/Yoga Cross body Sling Bag Black Style: Casual Ideal For: Students, Executives, Travelers, Daily Commuters, morning walk etc. Material: Nylon Specifications : Premium nylon material Ergonomic design Crafted In India Dimensions: 8.75 x 6.25 x 2.75 inches Read more Make your presence felt Grey | Black | Blue Ergonomic Design This cross-body bag comes with an adjustable shoulder strap & a comfortable size so that you can carry all your daily essentials easily. Slim Profile A light weight design & slim profile makes this bag perfect for carrying all day. Large Capacity With a main central pocket along with a front and a back zipper pocket, you can carry all your essentials like phone, wallet, diary, tablet, water bottle & much more. Read more A Perfect Gift An ergonomically great design & premium hardware makes this cross body sling bag a perfect gift for your loved ones. Read more",B084ZHP97M,NA
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&sprefix=ba%2Caps%2C283&sr=8-19,ADISA Light Weight Laptop Backpack 32 Ltrs,₹509,4.0,"4,829","About us A sporty versatile Laptop Backpack from ADISA, made of Polyester. It has a top opening with 3 compartments for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back. Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. Separate Laptop Compartment One separate laptop compartment that can hold up to 15.6 Inch Laptop. Multiple compartments and Organiser can store lots of stuff, that too organized.Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers. Large Main Compartment Fits up to 15.6 Inch Laptops (Laptops bigger than 15.6 inches not recommended)Thin clothes, headset, books, magazine, camera, CD's, etcFor Phones, pens, keys, wallets, purses, glasses, and other small itemsDurable elasticized mesh pockets on both sides fit water bottles, a small compact umbrella, and other items Earphone Slot Made with strong yet lightweight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all with the charging system, i.e. adults, teens, boys, girls.Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers. Read more Lightweight With comfort and functionality as priorities, lots of people now use backpacks for their everyday this 35-litre medium sized backpack would also be ideal for those thinking of an overnight trip. Complete with all the features of a daypack but with additional padding, pockets and fixing points for all the extra equipment you’ll need for a longer trip, the ADISA backpack is designed for multi-day use. Multiple Compartments Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. And third compartment is for your extra stuff.It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. Read more COLOR VARIATIONS Read more",B07F3X45WZ,ADISA
https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-20,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),₹899,4.4,"4,429",NA,B07YY6PTMN,"‎Korrun India Pvt. Ltd, Korrun India Pvt.  Ltd., Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka"
https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1658679608&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-19,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),₹899,4.4,"4,429",NA,B07YY6PTMN,"‎Korrun India Pvt. Ltd, Korrun India Pvt.  Ltd., Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1658679608&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-20,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹448,4.3,"10,603","Ergonomic Contoured Shape With a slim, sleek and compact design you will love how this backpack can look small and compact even though it has 2 spacious compartments to store your gadgets, books, keys and even a water bottle! Fits Your Laptop You can take along your gadgets with you to office, college or anywhere with this backpack, as it has got allotted storage space that fits a laptop of up-to 15.6 inches. Strong and Lightweight Designed with great quality materials that are waterproof, tough and durable, this backpack is like no other as it features a lightweight design that is easy to maintain as well. Read more Padded Back Straps The back straps of the backpack are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. Spacious Storage Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. Back Support It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. A Bag for any weather Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.",B07K8KLB3P,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039"
https://www.amazon.in/Backpack-Fashion-Computer-Business-Black-BlueZip/dp/B08R7J19R8/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1658679608&sprefix=ba%2Caps%2C283&sr=8-21,Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,₹468,4.0,"1,455","Spacious Storage 15.6 Laptop backpack comes with One main Compartment , One Front Compartment for accessories such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Superior Material The bag is made with superior quality fabric which not only looks good but also offers you utmost comfort. Suitable For The bag is made suitable for men & women both which can be used on a daily basis. Read more Read more Read more Read more",B08R7J19R8,wooum
https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1658679608&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-22,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",₹799,4.2,"5,639","Comfortable and Sturdy This ergonomically designed travel backpack is built-in with cushioned back to provide easy carrying and commuting experience. It is a comfortable and ideal gear to carry while hiking or trekking. Multiple Pockets This fashionable backpack is designed with multiple pockets to store your necessities and accessories like phone, charger, medicines etc. It has two mesh pocket on each side to carry water bottles. Shoe Compartment This backpack is designed with separate shoe compartment. You can keep your shoes isolated from your clothes and other belongings. It is built to make your journey more convenient and organised. Read more Built for an Adventure This multi-utility travel gear is built to carry your necessary belongings when you head out on an adventure. It is equipped with multiple straps or cords to carry extra gear like yoga mat. It remains comfortable to carry even while walking for long hours. Spacious Compartment This backpack is designed with roomy interior compartments for easy access and organisation. You may keep your daily necessities such as clothes, sleeping bag, umbrella, first-aid kit and many more in organised way. Water-resistant Polymer Material. This travel gear is crafted from polyester material. It is durable and built to withstand different weather conditions including heavy rain and extreme heat. It can secure your belongings without damages. Read more Read more",B07YDGQQN5,Fur Jaden
